OBJECTID,Shape_Area,MIN,MAX,RANGE,MEAN,STD,VOLUME,CENTROID_X,CENTROID_Y,Width,Length,Throat,Class,Type,New_Veg_Area,,,,,,,,,
61,57185,-0.175,3.064,3.239,0.838795,0.383309,47966.48914,400688.2953,3877028.146,1,1,1,1,3,0.01,,,,,,,,,
62,7978,-0.018,1.646,1.664,0.573049,0.217447,4571.787324,401007.1322,3877305.98,1,1,1,1,3,0.01,,,,,,,,,
64,4142,-0.001,1.282,1.283,0.566711902,0.1,2347.320698,401253.4358,3877519.452,1,1,1,1,3,0.01,,,,,,,,,
67,709,0.143,0.768389,0.625389,0.391902652,0.2,277.85898,401390.1021,3877645.388,1,1,1,1,3,0.01,,,,,,,,,
71,6518,-0.019,1.500553,1.519553,0.554913,0.227798,3616.924072,401474.4684,3877848.191,1,1,1,1,3,0.01,,,,,,,,,
33,31062,-0.096,5.317,5.413,0.927938,0.530048,28823.60647,382225.2158,3860120.112,117,309,76,0,4,0.01,,,,,,,,,
95,42590,-0.269,5.872,6.141,1.481832,0.787493,63111.20478,394082.8364,3871085.625,267.3,300.8,138,0,4,10467.36,,,,,,,,,
108,64229,-0.619211,3.198,3.817211,0.384831,0.391707,24717.30562,397209.3752,3874001.589,312.6,321,231.7,0,4,0.01,,,,,,,,,
28,5392,-0.006,1.818693,1.824693,0.819466,0.348918,4418.560153,380367.7908,3858400.731,68,160,45,0,5,0.01,,,,,,,,,
36,8386,-0.1,3.601071,3.701071,1.411111,0.745192,11833.57302,383981.3997,3861550.493,98,195,58,0,5,1036.8,,,,,,,,,
43,8089,-0.883,6.367895,7.250895,1.372331,0.821134,11100.78828,385141.9636,3862503.005,113.4,180,56,0,5,549.8,,,,,,,,,
